algo,wind_power,wind_drop,actuator_drop,gap
PPO,5.0,18.069473229678295,169.15444384020864,151.08497061053035
PPO,10.0,38.75682371318834,169.15444384020864,130.3976201270203
PPO,15.0,92.00576514139544,169.15444384020864,77.1486786988132
PPO,20.0,109.65336701896499,169.15444384020864,59.50107682124366
SAC,5.0,-0.29553464201160295,11.574797576859709,11.870332218871312
SAC,10.0,-0.587886796023156,11.574797576859709,12.162684372882865
SAC,15.0,-6.2392016366018765,11.574797576859709,17.813999213461585
SAC,20.0,-6.48839400968177,11.574797576859709,18.06319158654148
PPO_DR,5.0,-20.790578953507577,120.52419647226938,141.31477542577696
PPO_DR,10.0,-6.529992541241285,120.52419647226938,127.05418901351067
PPO_DR,15.0,34.60858136004609,120.52419647226938,85.91561511222329
PPO_DR,20.0,98.3384357379451,120.52419647226938,22.185760734324276
