seed,episode,detector,fired,fired_at,ep_len
0,0,ztest,True,282.0,299
0,1,ztest,True,82.0,1000
0,2,ztest,True,331.0,736
0,3,ztest,True,60.0,887
0,4,ztest,False,,433
0,5,ztest,False,,412
0,6,ztest,True,317.0,1000
0,7,ztest,True,223.0,1000
0,8,ztest,True,142.0,886
0,9,ztest,False,,476
0,10,ztest,True,327.0,1000
0,11,ztest,True,325.0,409
0,12,ztest,True,339.0,1000
0,13,ztest,True,316.0,332
0,14,ztest,False,,1000
0,15,ztest,False,,451
0,16,ztest,True,344.0,1000
0,17,ztest,False,,1000
0,18,ztest,True,176.0,647
0,19,ztest,False,,1000
0,0,page_hinkley,True,163.0,299
0,1,page_hinkley,True,27.0,1000
0,2,page_hinkley,True,32.0,736
0,3,page_hinkley,True,38.0,887
0,4,page_hinkley,True,58.0,433
0,5,page_hinkley,True,101.0,412
0,6,page_hinkley,True,188.0,1000
0,7,page_hinkley,True,158.0,1000
0,8,page_hinkley,True,37.0,886
0,9,page_hinkley,True,168.0,476
0,10,page_hinkley,True,173.0,1000
0,11,page_hinkley,True,105.0,409
0,12,page_hinkley,True,35.0,1000
0,13,page_hinkley,True,301.0,332
0,14,page_hinkley,True,102.0,1000
0,15,page_hinkley,True,282.0,451
0,16,page_hinkley,True,106.0,1000
0,17,page_hinkley,True,113.0,1000
0,18,page_hinkley,True,24.0,647
0,19,page_hinkley,True,82.0,1000
0,0,ewma,True,103.0,299
0,1,ewma,True,26.0,1000
0,2,ewma,True,31.0,736
0,3,ewma,True,38.0,887
0,4,ewma,True,59.0,433
0,5,ewma,True,35.0,412
0,6,ewma,True,193.0,1000
0,7,ewma,True,41.0,1000
0,8,ewma,True,37.0,886
0,9,ewma,True,63.0,476
0,10,ewma,True,174.0,1000
0,11,ewma,True,27.0,409
0,12,ewma,True,35.0,1000
0,13,ewma,True,121.0,332
0,14,ewma,True,24.0,1000
0,15,ewma,True,80.0,451
0,16,ewma,True,26.0,1000
0,17,ewma,True,185.0,1000
0,18,ewma,True,23.0,647
0,19,ewma,True,124.0,1000
1,0,ztest,False,,459
1,1,ztest,False,,1000
1,2,ztest,False,,609
1,3,ztest,False,,379
1,4,ztest,False,,1000
1,5,ztest,False,,1000
1,6,ztest,False,,572
1,7,ztest,False,,1000
1,8,ztest,False,,1000
1,9,ztest,False,,403
1,10,ztest,True,456.0,705
1,11,ztest,False,,1000
1,12,ztest,False,,1000
1,13,ztest,False,,1000
1,14,ztest,False,,1000
1,15,ztest,False,,1000
1,16,ztest,False,,1000
1,17,ztest,False,,1000
