algo,gain,act_drop,wind_drop_at_Wmax,gap
PPO,0.85,4.322861630021549,109.65336701896499,105.33050538894344
PPO,0.8,7.509487766967737,109.65336701896499,102.14387925199725
PPO,0.75,7.7311167794942435,109.65336701896499,101.92225023947074
PPO,0.7,21.213343378501662,109.65336701896499,88.44002364046332
PPO,0.65,42.480008825432236,109.65336701896499,67.17335819353275
PPO,0.6,102.81795327240275,109.65336701896499,6.835413746562239
PPO_DR,0.85,-13.852111549233939,98.3384357379451,112.19054728717904
PPO_DR,0.8,-2.9004732655040186,98.3384357379451,101.23890900344912
PPO_DR,0.75,2.506008080508934,98.3384357379451,95.83242765743617
PPO_DR,0.7,-6.528249409224202,98.3384357379451,104.8666851471693
PPO_DR,0.65,-1.0681880297884447,98.3384357379451,99.40662376773355
PPO_DR,0.6,23.987683486029795,98.3384357379451,74.35075225191531
